% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=190787, Fri May 20 18:29:24 2022, <python>{}</python>
1 20 0.0009796713546233239 1.0000498245627572 -30.0 -3.0000000000000000e+01 -0.0 10.0   
2 40 0.0009617941264807065 1.0000498245627572 -30.0 -3.0000000000000000e+01 -0.0 10.0   
3 60 0.0009485503457024001 1.0000498245627572 -30.0 -3.0000000000000000e+01 -0.0 10.0   
4 80 0.0009363479796965962 1.0161489264782209 -30.0 -3.0000000000000000e+01 -0.0 10.0   
5 100 0.0009251178284374537 1.0161489264782209 -30.0 -3.0000000000000000e+01 -0.0 10.0   
6 120 0.0009152845914225504 1.0161489264782209 -30.0 -3.0000000000000000e+01 -10.0 10.0   
7 140 0.0009059852781046686 1.0175153873687093 -30.0 -3.0000000000000000e+01 -10.0 10.0   
8 160 0.0008986435636341083 1.0175153873687093 -30.0 -3.0000000000000000e+01 -30.0 10.0   
9 180 0.0008939871326474424 1.0175153873687093 -30.0 -3.0000000000000000e+01 -10.0 10.0   
10 200 0.0008900154726372915 1.0236295192791622 -30.0 -3.0000000000000000e+01 -0.0 10.0   
